ADM1_EN,adm1_pcode,adm1_name,Events,Fatalities,peacebuilding_index,Food_security,poverty,education,climate_vulnerability,health,Pop,Conflict_Event_per_100k_Pop,Fatalities_Event_per_100k_Pop
Awdal,SO11,Awdal,21,8,1,0.818,1,1,1,0.561," 655,894 ", 3.20   , 1.22   
Bakool,SO25,Bakool,667,1246,0.123578933,0,0.185,0.1062,0.207,1," 560,267 ", 119.05   , 222.39   
Banadir,SO22,Banadir,3032,2912,0.570290046,0.586,0.8508,0.5635,0.403,0," 3,262,129 ", 92.95   , 89.27   
Bari,SO16,Bari,684,1872,0.752889988,0.517,0.908,0.698,0.83,0.425," 1,270,552 ", 53.83   , 147.34   
Bay,SO24,Bay,1588,1731,0.349902521,0.165,0.709,0.362,0,0.499," 1,286,787 ", 123.41   , 134.52   
Galgaduud,SO19,Galgaduud,907,4044,0.355722667,0.189,0.664,0.239,0.454,0.124," 837,916 ", 108.24   , 482.63   
Gedo,SO26,Gedo,650,552,0.427812033,0.644,0.6745,0.387,0.224,0.624676943," 1,005,924 ", 64.62   , 54.87   
Hiraan,SO20,Hiraan,1300,3917,0.42308041,0.481,0.238,0.5464,0.222,0.717421785," 520,517 ", 249.75   , 752.52   
Lower Juba,SO28,Lower Juba,1952,3439,0.346119467,0.5893,0.6096,0.235,0.261,0.096870655," 1,194,276 ", 163.45   , 287.96   
Lower Shabelle,SO23,Lower Shabelle,4261,5867,0.371498721,0.472,0.639,0.3013,0.222,0.242148608," 1,642,667 ", 259.40   , 357.16   
Middle Juba,,Middle Juba,157,622,,,,,,," 443,507 ", 35.40   , 140.25   
Middle Shabelle,SO21,Middle Shabelle,1339,5176,0,0.137,0,0,0.265,0.042583305," 1,044,872 ", 128.15   , 495.37   
Mudug,SO18,Mudug,538,3035,0.418340895,0.399,0.302,0.4012,0.557,0.090548152," 1,516,035 ", 35.49   , 200.19   
Nugaal,SO17,Nugaal,121,101,0.808830722,0.5952,0.902,0.8016,0.611,0.249839339," 651,464 ", 18.57   , 15.50   
Sanaag,SO15,Sanaag,122,187,0.670482155,0.7869,0.917,0.485,0.739,0.638721599," 442,034 ", 27.60   , 42.30   
Sool,SO14,Sool,196,500,0.608188515,0.628,0.5573,0.609,0.598,0.414544386," 566,053 ", 34.63   , 88.33   
Togdheer,SO13,Togdheer,129,304,0.745097332,0.7375,0.8474,0.684,0.626,0.308010492," 887,450 ", 14.54   , 34.26   
Woqooyi Galbeed,SO12,Woqooyi Galbeed,50,53,0.940471439,1,0.8525,0.992,0.752,0.270474937," 1,492,506 ", 3.35   , 3.55   
