adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
SS00,Abyei Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS01,Central Equatoria,1280,762,331,325,243,255,313,353,235,332,284,253,203,174,176,232,239,206,153,272,0.802507837,0.178056426,0.477742947,0.15862069,0.207523511,0.127272727,0.203761755,0.109090909,0.152351097,0.110344828,0.159874608,0.145454545,0.196238245,0.14984326,0.221316614,0.129153605,0.147335423,0.095924765,0.20815047,0.170532915
SS02,Eastern Equatoria,284,319,61,64,58,237,350,244,213,192,86,77,40,31,54,175,193,177,130,117,0.24461671,0.074074074,0.274763135,0.066322136,0.052540913,0.034453058,0.055124892,0.02670112,0.049956934,0.046511628,0.204134367,0.150732127,0.301464255,0.166236003,0.210163652,0.15245478,0.183462532,0.111972438,0.165374677,0.100775194
SS03,Jonglei,474,865,336,184,673,552,863,860,592,683,82,132,104,52,144,284,365,379,356,389,0.226145038,0.039122137,0.41269084,0.062977099,0.160305344,0.049618321,0.08778626,0.02480916,0.321087786,0.06870229,0.263358779,0.135496183,0.411736641,0.174141221,0.410305344,0.180820611,0.282442748,0.169847328,0.325858779,0.185591603
SS04,Lakes,203,489,174,245,497,645,121,373,354,284,33,71,58,65,150,306,155,138,157,139,0.162660256,0.026442308,0.391826923,0.056891026,0.139423077,0.046474359,0.196314103,0.052083333,0.398237179,0.120192308,0.516826923,0.245192308,0.096955128,0.124198718,0.298878205,0.110576923,0.283653846,0.125801282,0.227564103,0.111378205
SS05,Northern Bahr el Ghazal,36,41,0,9,82,17,52,45,6,11,11,14,0,7,16,22,26,21,4,10,0.037267081,0.011387164,0.042443064,0.014492754,0,0,0.00931677,0.007246377,0.084886128,0.016563147,0.017598344,0.022774327,0.053830228,0.026915114,0.046583851,0.02173913,0.00621118,0.004140787,0.011387164,0.010351967
SS06,Unity,496,667,223,349,218,316,491,137,130,247,112,102,136,28,74,167,190,89,75,127,0.427955134,0.09663503,0.575496117,0.088006903,0.192407248,0.117342537,0.301121657,0.024158758,0.188093184,0.063848145,0.272648835,0.144089733,0.42364107,0.163934426,0.118205349,0.076790336,0.11216566,0.064710958,0.213114754,0.109577222
SS07,Upper Nile,401,931,142,90,26,322,639,174,114,511,73,204,40,30,25,111,197,85,78,195,0.254603175,0.046349206,0.591111111,0.12952381,0.09015873,0.025396825,0.057142857,0.019047619,0.016507937,0.015873016,0.204444444,0.07047619,0.405714286,0.125079365,0.11047619,0.053968254,0.072380952,0.04952381,0.324444444,0.123809524
SS08,Warrap,101,243,207,358,548,891,790,711,565,597,23,49,43,50,118,220,199,250,176,222,0.075598802,0.017215569,0.181886228,0.036676647,0.15494012,0.032185629,0.267964072,0.03742515,0.410179641,0.088323353,0.666916168,0.164670659,0.591317365,0.148952096,0.532185629,0.187125749,0.422904192,0.131736527,0.446856287,0.166167665
SS09,Western Bahr el Ghazal,207,381,172,98,32,15,28,67,56,21,95,76,96,31,35,23,42,34,27,32,0.302631579,0.138888889,0.557017544,0.111111111,0.251461988,0.140350877,0.143274854,0.045321637,0.046783626,0.051169591,0.021929825,0.033625731,0.040935673,0.061403509,0.097953216,0.049707602,0.081871345,0.039473684,0.030701754,0.046783626
SS10,Western Equatoria,203,157,65,75,70,462,58,71,41,289,81,98,53,43,46,166,82,62,56,210,0.203815261,0.081325301,0.157630522,0.098393574,0.065261044,0.053212851,0.075301205,0.043172691,0.070281124,0.046184739,0.463855422,0.166666667,0.058232932,0.082329317,0.071285141,0.062248996,0.041164659,0.0562249,0.290160643,0.210843373
